,tag_id,tag_name,tag_category,tag_rank,title_id,title_native,title_romaji
0,85,Tragedy,Theme-Drama,97,30002,ベルセルク,Berserk
1,50,Seinen,Demographic,97,30002,ベルセルク,Berserk
2,252,Revenge,Theme-Drama,94,30002,ベルセルク,Berserk
3,82,Male Protagonist,Cast-Main Cast,93,30002,ベルセルク,Berserk
4,15,Demons,Cast-Traits,92,30002,ベルセルク,Berserk
5,94,Gore,Theme-Other,87,30002,ベルセルク,Berserk
6,636,Cosmic Horror,Theme-Other,86,30002,ベルセルク,Berserk
7,391,Philosophy,Theme-Other,84,30002,ベルセルク,Berserk
8,104,Anti-Hero,Cast-Main Cast,82,30002,ベルセルク,Berserk
9,29,Magic,Theme-Fantasy,81,30002,ベルセルク,Berserk
10,43,Swordplay,Theme-Action,80,30002,ベルセルク,Berserk
11,111,War,Theme-Other,80,30002,ベルセルク,Berserk
12,639,Body Horror,Theme-Other,77,30002,ベルセルク,Berserk
13,253,Gods,Cast-Traits,75,30002,ベルセルク,Berserk
14,155,Rape,Sexual Content,74,30002,ベルセルク,Berserk
15,100,Nudity,Cast-Traits,71,30002,ベルセルク,Berserk
16,34,Military,Theme-Other-Organisations,70,30002,ベルセルク,Berserk
17,723,Sadism,Sexual Content,70,30002,ベルセルク,Berserk
18,179,Witch,Cast-Traits,69,30002,ベルセルク,Berserk
19,139,Love Triangle,Theme-Romance,66,30002,ベルセルク,Berserk
20,598,Elf,Cast-Traits,65,30002,ベルセルク,Berserk
21,103,Politics,Theme-Other,64,30002,ベルセルク,Berserk
22,488,Age Regression,Cast-Traits,64,30002,ベルセルク,Berserk
23,102,Coming of Age,Theme-Drama,63,30002,ベルセルク,Berserk
24,1045,Heterosexual,Theme-Romance,63,30002,ベルセルク,Berserk
25,156,Achronological Order,Setting-Time,61,30002,ベルセルク,Berserk
26,1091,Religion,Theme-Other,60,30002,ベルセルク,Berserk
27,931,Tomboy,Cast-Traits,54,30002,ベルセルク,Berserk
28,305,Ships,Theme-Other-Vehicle,54,30002,ベルセルク,Berserk
29,105,Ensemble Cast,Cast-Main Cast,52,30002,ベルセルク,Berserk
30,247,Slavery,Theme-Other,48,30002,ベルセルク,Berserk
31,1052,Adoption,Theme-Other,48,30002,ベルセルク,Berserk
32,499,Skeleton,Cast-Traits,47,30002,ベルセルク,Berserk
33,480,Goblin,Cast-Traits,36,30002,ベルセルク,Berserk
34,1121,Torture,Theme-Other,33,30002,ベルセルク,Berserk
35,870,Cannibalism,Theme-Other,30,30002,ベルセルク,Berserk
36,201,Pirates,Cast-Traits,97,30013,ONE PIECE,ONE PIECE
37,56,Shounen,Demographic,91,30013,ONE PIECE,ONE PIECE
38,105,Ensemble Cast,Cast-Main Cast,89,30013,ONE PIECE,ONE PIECE
39,66,Super Power,Theme-Fantasy,87,30013,ONE PIECE,ONE PIECE
40,82,Male Protagonist,Cast-Main Cast,80,30013,ONE PIECE,ONE PIECE
41,305,Ships,Theme-Other-Vehicle,79,30013,ONE PIECE,ONE PIECE
42,85,Tragedy,Theme-Drama,77,30013,ONE PIECE,ONE PIECE
43,103,Politics,Theme-Other,76,30013,ONE PIECE,ONE PIECE
44,648,Crime,Theme-Other,74,30013,ONE PIECE,ONE PIECE
45,34,Military,Theme-Other-Organisations,74,30013,ONE PIECE,ONE PIECE
46,111,War,Theme-Other,73,30013,ONE PIECE,ONE PIECE
47,226,Fugitive,Theme-Action,71,30013,ONE PIECE,ONE PIECE
48,456,Conspiracy,Theme-Drama,71,30013,ONE PIECE,ONE PIECE
49,466,Lost Civilization,Theme-Other,68,30013,ONE PIECE,ONE PIECE
50,217,Dystopian,Setting-Time,68,30013,ONE PIECE,ONE PIECE
51,153,Time Skip,Setting-Time,67,30013,ONE PIECE,ONE PIECE
52,490,Anachronism,Setting-Time,67,30013,ONE PIECE,ONE PIECE
53,109,Primarily Adult Cast,Cast-Main Cast,66,30013,ONE PIECE,ONE PIECE
54,326,Cultivation,Theme-Fantasy,65,30013,ONE PIECE,ONE PIECE
55,247,Slavery,Theme-Other,64,30013,ONE PIECE,ONE PIECE
56,43,Swordplay,Theme-Action,62,30013,ONE PIECE,ONE PIECE
57,83,Slapstick,Theme-Comedy,61,30013,ONE PIECE,ONE PIECE
58,310,Espionage,Theme-Action,60,30013,ONE PIECE,ONE PIECE
59,208,Mythology,Theme-Fantasy,60,30013,ONE PIECE,ONE PIECE
60,342,Environmental,Theme-Other,60,30013,ONE PIECE,ONE PIECE
61,102,Coming of Age,Theme-Drama,60,30013,ONE PIECE,ONE PIECE
62,433,Animals,Theme-Other,58,30013,ONE PIECE,ONE PIECE
63,1052,Adoption,Theme-Other,55,30013,ONE PIECE,ONE PIECE
64,291,Samurai,Cast-Traits,54,30013,ONE PIECE,ONE PIECE
65,104,Anti-Hero,Cast-Main Cast,53,30013,ONE PIECE,ONE PIECE
66,499,Skeleton,Cast-Traits,52,30013,ONE PIECE,ONE PIECE
67,801,Cyborg,Cast-Traits,51,30013,ONE PIECE,ONE PIECE
68,175,Robots,Cast-Traits,50,30013,ONE PIECE,ONE PIECE
69,106,Gangs,Theme-Other-Organisations,50,30013,ONE PIECE,ONE PIECE
70,142,Food,Theme-Arts,49,30013,ONE PIECE,ONE PIECE
71,253,Gods,Cast-Traits,48,30013,ONE PIECE,ONE PIECE
72,659,Medicine,Theme-Other,48,30013,ONE PIECE,ONE PIECE
73,593,Oiran,Cast-Traits,47,30013,ONE PIECE,ONE PIECE
74,224,Dragons,Cast-Traits,44,30013,ONE PIECE,ONE PIECE
75,558,Mermaid,Cast-Traits,44,30013,ONE PIECE,ONE PIECE
76,704,Dinosaurs,Cast-Traits,43,30013,ONE PIECE,ONE PIECE
77,100,Nudity,Cast-Traits,43,30013,ONE PIECE,ONE PIECE
78,632,Centaur,Cast-Traits,42,30013,ONE PIECE,ONE PIECE
79,157,Guns,Theme-Action,42,30013,ONE PIECE,ONE PIECE
80,259,Monster Girl,Cast-Traits,42,30013,ONE PIECE,ONE PIECE
81,255,Ninja,Cast-Traits,40,30013,ONE PIECE,ONE PIECE
82,322,Assassins,Theme-Other-Organisations,40,30013,ONE PIECE,ONE PIECE
83,77,Gender Bending,Theme-Other,40,30013,ONE PIECE,ONE PIECE
84,122,Trains,Theme-Other-Vehicle,40,30013,ONE PIECE,ONE PIECE
85,152,Zombie,Cast-Traits,39,30013,ONE PIECE,ONE PIECE
86,240,Amnesia,Cast-Traits,39,30013,ONE PIECE,ONE PIECE
87,483,LGBTQ+ Themes,Theme-Other,36,30013,ONE PIECE,ONE PIECE
88,365,Memory Manipulation,Theme-Other,30,30013,ONE PIECE,ONE PIECE
89,534,Werewolf,Cast-Traits,23,30013,ONE PIECE,ONE PIECE
90,82,Male Protagonist,Cast-Main Cast,95,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
91,66,Super Power,Theme-Fantasy,95,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
92,50,Seinen,Demographic,93,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
93,456,Conspiracy,Theme-Drama,90,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
94,109,Primarily Adult Cast,Cast-Main Cast,89,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
95,198,Foreign,Setting-Scene,86,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
96,146,Alternate Universe,Setting-Universe,81,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
97,85,Tragedy,Theme-Drama,80,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
98,105,Ensemble Cast,Cast-Main Cast,78,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
99,25,Historical,Setting-Time,72,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
100,391,Philosophy,Theme-Other,71,31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run
