title_id,title_native,title_romaji,start_year,chapters,volume,publishing_status,country,adult,genres,average_score,mean_score,popularity,favorites,score_10,score_20,score_30,score_40,score_50,score_60,score_70,score_80,score_90,score_100,count_CURRENT,count_PLANNING,count_COMPLETED,count_DROPPED,count_PAUSED,ranking_RATED,ranking_POPULAR,synopsis,cover_image_url
30002,ベルセルク,Berserk,1989.0,,,RELEASING,JP,False,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Psychological']",92,92,86848,15709,458.0,25.0,50.0,77.0,157.0,282.0,872,2378,7428,18605,41061,28339,7584,1300,8564,1.0,7.0,"His name is Guts, the Black Swordsman, a feared warrior spoken of only in whispers. Bearer of a gigantic sword, an iron hand, and the scars of countless battles and tortures, his flesh is also indelibly marked with The Brand, an unholy symbol that draws the forces of darkness to him and dooms him as their sacrifice. But Guts won't take his fate lying down; he'll cut a crimson swath of carnage through the ranks of the damned—and anyone else foolish enough to oppose him! Accompanied by Puck the Elf, more an annoyance than a companion, Guts relentlessly follows a dark, bloodstained path that leads only to death...or vengeance.<br>
<br>
(Source: Dark Horse)<br>
<br>
<i>Notes:<br>
- Volumes 1-5 contain the 16 prequel chapters 0A - 0P.<br>
- <a href=""https://anilist.co/manga/95821/"">Chapter 83</a> was omitted from Volume 13 due to the author’s request.<br>
- Volume 14 includes “<a href=""https://anilist.co/manga/36408/"">Berserk: The Prototype</a>”.<br>
- The series is currently on indefinite hiatus due to the mangaka's death.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30002-7EzO7o21jzeF.jpg'}
30013,ONE PIECE,ONE PIECE,1997.0,,,RELEASING,JP,False,"['Action', 'Adventure', 'Comedy', 'Fantasy']",91,91,83201,17391,239.0,41.0,69.0,140.0,337.0,620.0,1730,3798,9344,20963,57479,12759,3088,2567,7308,1.0,1.0,"As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the world...
<br><br>
(Source: Viz Media)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30013-oT7YguhEK1TE.jpg'}
31706,ジョジョの奇妙な冒険 スティール・ボール・ラン,JoJo no Kimyou na Bouken: Steel Ball Run,2004.0,95.0,24.0,FINISHED,JP,False,"['Action', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Sports', 'Supernatural']",91,91,40754,8341,375.0,9.0,18.0,41.0,74.0,177.0,632,1651,5591,11017,4899,11582,22916,265,1092,1.0,1.0,"Originally presented as an unrelated story, this series was later officially declared a part of the JoJo storyline. The series stars Gyro Zeppeli, who uses a set of steel balls that spin incredibly fast, and Johnny Joestar (Jonathan Joestar), a former hot-shot jockey who was crippled by an ambusher and lost his fame and fortune. They race, along with others, in a mad-dash across America for 50 million dollars, reminiscent of The Cannonball Run.<br><br>
(Source: Wikipedia)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx31706-8NapvUJrWR3C.png'}
30656,バガボンド,Vagabond,1999.0,,,RELEASING,JP,False,"['Action', 'Adventure', 'Drama']",90,90,49289,6265,230.0,5.0,16.0,26.0,86.0,153.0,479,1385,3884,6961,13310,24352,6589,514,4524,1.0,1.0,"At seventeen years of age, Miyamoto Musashi--still known by his childhood name, Shinmen Takezo--was a wild young brute just setting out along the way of the sword.
<br><br>
In the aftermath of the epic Battle of Sekigahara, Takezo finds himself a fugitive survivor on the losing side of the war. Takezo's vicious nature has made him an outcast even in his own village, and he is hunted down like an animal. At this crucial crossroads in Takezo's life, an eccentric monk and a childhood friend are the only ones who can help him find his way.
<br><br>
(Source: Viz Media)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30656-dNNIEyEIF66b.png'}
30001,MONSTER,MONSTER,1994.0,162.0,18.0,FINISHED,JP,False,"['Drama', 'Mystery', 'Psychological', 'Thriller']",90,90,38251,4010,144.0,5.0,18.0,30.0,79.0,128.0,424,1146,3337,5410,4210,20159,12143,304,1435,1.0,1.0,"Everyone faces uncertainty at some point in their lives. Even a brilliant surgeon like Kenzo Tenma is no exception. But there’s no way he could have known that his decision to stop chasing professional success and instead concentrate on his oath to save peoples’ lives would result in the birth of an abomination. The questions of good and evil now take on a terrifyingly real dimension.
<br><br>
Years later, in Germany during the tumultuous post-reunification period, middle-aged childless couples are being killed one after another. The serial killer’s identity is known. The reasons why he kills are not. Dr. Tenma sets out on a journey to find the killer’s twin sister, who may hold some clues to solving the enigma of the “Monster.”
<br><br>
(Source: Viz Media)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30001-Vft5PAKPrY1W.jpg'}
30051,スラムダンク,Slam Dunk,1990.0,276.0,31.0,FINISHED,JP,False,"['Comedy', 'Drama', 'Sports']",89,90,27883,3435,61.0,5.0,8.0,13.0,57.0,132.0,457,1123,2980,3933,3621,13082,9826,247,1107,1.0,1.0,"Hanamichi Sakuragi's got no game with girls--none at all! It doesn't help that he's known for throwing down at a moment's notice and always coming out on top. A hopeless bruiser, he's been rejected by 50 girls in a row! All that changes when he meets the girl of his dreams, Haruko, and she's actually not afraid of him! When she introduces him to the game of basketball, his life is changed forever...
<br><br>
(Source: Viz Media)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30051-Lfej2WdOZty5.png'}
30642,ヴィンランド・サガ,Vinland Saga,2005.0,,,RELEASING,JP,False,"['Action', 'Adventure', 'Drama']",89,90,51935,7119,72.0,16.0,13.0,45.0,107.0,165.0,666,2046,5622,6214,23753,21470,1749,689,4274,1.0,1.0,"As a child, Thorfinn sat at the feet of the great Leif Ericson and thrilled to wild tales of a land far to the west. But his youthful fantasies were shattered by a mercenary raid. Raised by the Vikings who murdered his father, Thorfinn became a terrifying warrior, forever seeking to kill the band's leader, Askeladd, and avenge his father. Sustaining Thorfinn through his ordeal are his pride in his family and his dreams of a fertile westward land, a land without war or slavery … the land Leif called Vinland.
<br><br>
(Source: Kodansha USA)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30642-x6RpmbP5mU7q.jpg'}
65243,ハイキュー！！,Haikyuu!!,2012.0,404.0,45.0,FINISHED,JP,False,"['Comedy', 'Drama', 'Sports']",89,89,53083,6782,149.0,21.0,33.0,50.0,140.0,259.0,969,2500,5802,8188,14060,16803,17795,1046,3379,1.0,2.0,"A chance event triggered Shouyou Hinata's love for volleyball. His club had no members, but somehow persevered and finally made it into its very first and final regular match of middle school, where it was steamrolled by Tobio Kageyama, a superstar player known as ""King of the Court."" Vowing revenge, Hinata applied to the Karasuno High School volleyball club...only to come face-to-face with his hated rival, Kageyama! A tale of hot-blooded youth and volleyball from the pen of Haruichi Furudate!!<br><br>
(Source: Shonen Jump)<br><br>
<i>Note: Includes 2 extra chapters.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx65243-mR4MnJFmfaOF.png'}
31303,あしたのジョー,Ashita no Joe,1968.0,171.0,20.0,FINISHED,JP,False,"['Drama', 'Slice of Life', 'Sports']",89,90,11582,1537,36.0,3.0,6.0,7.0,32.0,49.0,170,364,893,1621,1194,6220,3533,136,499,9.0,205.0,"Joe Yabuki is a troubled young man who runs away from an orphanage. Wandering through the Tokyo slums, he meets former boxing trainer Danpei. Joe is later arrested and goes to a temporary jail where he fights Nishi, his future best friend, ​and leader of a group of hooligans. He and Nishi then go to a juvenile prison miles away from Tokyo. There Joe meets Rikiishi, a former boxing prodigy, and a rivalry develops between them. They face each other in a match in which Rikiishi dominates Joe until the latter hits him with a cross-counter, resulting in both being knocked out. This inspires the other prison inmates to take up boxing. Joe and Rikiishi vow to fight again.<br><br>
(Source: Wikipedia) ",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31303-xbT9cWWgSvx0.png'}
98361,三日間の幸福,Mikkakan no Koufuku,2013.0,15.0,1.0,FINISHED,JP,False,"['Drama', 'Psychological', 'Romance', 'Slice of Life', 'Supernatural']",89,90,10916,612,9.0,1.0,4.0,3.0,8.0,21.0,99,224,636,869,496,7822,2479,25,94,1.0,1.0,"HOW MUCH IS LIFE TRULY WORTH?<br>
Kusunoki used to believe he was destined for great things. Ostracized as a child, he held on to a belief that a good life was waiting for him in the years ahead. Now approaching the age of twenty, he's a completely mediocre college student with no motivation, no dreams, and no money. After learning he can sell his remaining years-and just how little they're worth-he chooses to divest himself of all but his last three months. Has Kusunoki truly destroyed his last chance to find happiness...or has he somehow found it?<br>
<br>(Source: Yen Press)
",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx98361-Zn6ICdUCq7pf.jpg'}
